symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
ETHBTC;-0,00032000;-0,621;0,05133353;0,05153000;0,05121000;0,00490000;0,05121000;5,40870000;0,05122000;16,97890000;0,05153000;0,05206000;0,05098000;40035,48830000;2055,16289200;2024-01-04 22:12:09.412;2024-01-05 22:12:09.412;428898474;428968293;69820
LTCBTC;-0,00000700;-0,465;0,00149918;0,00150300;0,00149700;4,77600000;0,00149600;164,83500000;0,00149700;9,47300000;0,00150400;0,00151700;0,00147400;46558,47300000;69,79962675;2024-01-04 22:12:09.405;2024-01-05 22:12:09.405;94810582;94820193;9612
BNBBTC;-0,00004100;-0,566;0,00730261;0,00724200;0,00720200;2,50500000;0,00720100;1,00100000;0,00720200;17,35200000;0,00724300;0,00750000;0,00713400;59972,85600000;437,95850885;2024-01-04 22:12:09.803;2024-01-05 22:12:09.803;232011399;232073063;61665
NEOBTC;-0,00001590;-5,455;0,00028284;0,00029160;0,00027560;10,44000000;0,00027520;49,78000000;0,00027600;32,57000000;0,00029150;0,00029270;0,00027050;15678,83000000;4,43466076;2024-01-04 22:11:41.834;2024-01-05 22:11:41.834;46042501;46044085;1585
QTUMETH;-0,00005600;-3,911;0,00140014;0,00143600;0,00137600;2,50000000;0,00137100;426,70000000;0,00137600;14,80000000;0,00143200;0,00143900;0,00136700;2968,70000000;4,15660690;2024-01-04 22:11:49.713;2024-01-05 22:11:49.713;5417316;5417430;115
EOSETH;-0,00000940;-2,765;0,00033484;0,00033940;0,00033060;7,10000000;0,00032900;929,60000000;0,00033010;921,10000000;0,00034000;0,00034160;0,00032600;66721,50000000;22,34086930;2024-01-04 22:11:53.577;2024-01-05 22:11:53.577;23531790;23532273;484
SNTETH;-0,00000104;-5,517;0,00001846;0,00001885;0,00001781;2496,00000000;0,00001780;2511,00000000;0,00001788;2155,00000000;0,00001885;0,00001905;0,00001772;136715,00000000;2,52307564;2024-01-04 22:10:06.875;2024-01-05 22:10:06.875;3958948;3959019;72
BNTETH;-0,00001990;-5,720;0,00033901;0,00035130;0,00032800;21,10000000;0,00032800;0,10000000;0,00033010;317,50000000;0,00034790;0,00035130;0,00032380;20802,00000000;7,05211430;2024-01-04 22:08:37.577;2024-01-05 22:08:37.577;2286586;2286896;311
BCCBTC;0,00000000;0,000;0,00000000;0,07908100;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
GASBTC;-0,00000440;-3,145;0,00013677;0,00014010;0,00013550;22,00000000;0,00013530;333,80000000;0,00013560;226,80000000;0,00013990;0,00014090;0,00013390;32741,60000000;4,47819921;2024-01-04 22:12:08.955;2024-01-05 22:12:08.955;21936644;21939308;2665
BNBETH;0,00010000;0,071;0,14197973;0,14040000;0,14070000;0,57900000;0,14060000;3,09800000;0,14070000;34,48500000;0,14060000;0,14490000;0,13970000;8463,58300000;1201,65725210;2024-01-04 22:12:09.555;2024-01-05 22:12:09.555;57421690;57432154;10465
BTCUSDT;-529,90000000;-1,198;43750,22550868;44243,93000000;43714,03000000;0,00070000;43714,03000000;1,46133000;43714,04000000;0,48843000;44243,93000000;44729,58000000;42450,00000000;49543,47584000;2167538240,48367050;2024-01-04 22:12:09.548;2024-01-05 22:12:09.548;3352435067;3354526648;2091582
ETHUSDT;-41,25000000;-1,810;2245,50590323;2279,52000000;2238,28000000;0,66420000;2238,28000000;17,39700000;2238,29000000;3,79470000;2279,53000000;2286,75000000;2206,17000000;398165,63410000;894083281,83615300;2024-01-04 22:12:09.624;2024-01-05 22:12:09.624;1270021730;1270767526;745797
HSRBTC;0,00000000;0,000;0,00000000;0,00041400;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
